postal_code,Judet,localitate,Tip Artera,Denumire,Zona de livrare,Livrare sambata
10289,Bucuresti,Bucuresti,Piata,Enescu George,0,DA
10291,Bucuresti,Bucuresti,Strada,Esarcu Constantin,0,DA
10292,Bucuresti,Bucuresti,Strada,Episcopiei nr. 1-T,0,DA
10293,Bucuresti,Bucuresti,Strada,Episcopiei nr. 2-T,0,DA
10294,Bucuresti,Bucuresti,Strada,Simu Anastasie,0,DA
10295,Bucuresti,Bucuresti,Strada,Clemenceau Georges nr. 1-T,0,DA
10296,Bucuresti,Bucuresti,Strada,Clemenceau Georges nr. 2-T,0,DA
10297,Bucuresti,Bucuresti,Intrare,Sibioara,0,DA
10298,Bucuresti,Bucuresti,Intrare,Biserica Alba,0,DA
10301,Bucuresti,Bucuresti,Strada,Enescu George nr. 1-11,0,DA
10302,Bucuresti,Bucuresti,Strada,Enescu George nr. 13-19,0,DA
10303,Bucuresti,Bucuresti,Strada,Enescu George nr. 21-39,0,DA
10304,Bucuresti,Bucuresti,Strada,Enescu George nr. 41-T,0,DA
10305,Bucuresti,Bucuresti,Strada,Enescu George nr. 2-8,0,DA
10306,Bucuresti,Bucuresti,Strada,Enescu George nr. 10-28,0,DA
10307,Bucuresti,Bucuresti,Strada,Enescu George nr. 30-34,0,DA
10308,Bucuresti,Bucuresti,Strada,Enescu George nr. 36-T,0,DA
10311,Bucuresti,Bucuresti,Strada,"Verona Arthur, pictor nr. 1-9",0,DA
10312,Bucuresti,Bucuresti,Strada,"Verona Arthur, pictor nr. 11-21",0,DA
10313,Bucuresti,Bucuresti,Strada,"Verona Arthur, pictor nr. 2-10",0,DA
10314,Bucuresti,Bucuresti,Strada,"Verona Arthur, pictor nr. 12-16",0,DA
10321,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 1-5",0,DA
10322,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 7",0,DA
10323,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 9",0,DA
10324,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 11-25",0,DA
10325,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 27-33",0,DA
10326,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 35-T",0,DA
10331,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 2-4",0,DA
10332,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 6-12",0,DA
10333,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 14-18",0,DA
